4.067153,  0.858833, 0.000000, 0.026885, 0.793519, 0.006953
3.739990,  0.872723, 0.000000, 0.026195, 0.821588, 0.006065
4.072977,  0.862366, 0.000000, 0.028833, 0.838351, 0.006906
3.834995,  0.858848, 0.000000, 0.028771, 0.829150, 0.005858
3.948790,  0.858974, 0.000000, 0.025668, 0.811094, 0.005967
3.980503,  0.863860, 0.000000, 0.030138, 0.821198, 0.006611
4.118614,  0.861638, 0.000000, 0.029756, 0.802880, 0.006167
3.835161,  0.863992, 0.000000, 0.026364, 0.823074, 0.006019
3.932548,  0.884924, 0.000000, 0.028580, 0.824070, 0.006782
3.911248,  0.856832, 0.000000, 0.028786, 0.828709, 0.006854
4.146042,  0.863559, 0.000000, 0.029808, 0.818229, 0.006860
4.156440,  0.862305, 0.000000, 0.028927, 0.830009, 0.006814
3.878070,  0.862969, 0.000000, 0.028848, 0.851713, 0.006725
3.993378,  0.859822, 0.000000, 0.026076, 0.825059, 0.005700
3.936386,  0.859489, 0.000000, 0.025623, 0.809133, 0.006911
3.922332,  0.862788, 0.000000, 0.028535, 0.816900, 0.006955
3.949136,  0.857952, 0.000000, 0.029562, 0.821119, 0.006757
4.072354,  0.858153, 0.000000, 0.028866, 0.799640, 0.006832
3.888928,  0.862029, 0.000000, 0.026704, 0.799790, 0.006658
3.961148,  0.859433, 0.000000, 0.029581, 0.827485, 0.006863
3.996358,  0.856813, 0.000000, 0.029212, 0.826684, 0.006172
3.927149,  0.861709, 0.000000, 0.026511, 0.835013, 0.006913
4.117165,  0.860452, 0.000000, 0.025606, 0.839204, 0.005853
3.929995,  0.869536, 0.000000, 0.028287, 0.816984, 0.006818
3.969744,  0.858172, 0.000000, 0.029190, 0.817697, 0.006165
3.935953,  0.861598, 0.000000, 0.028689, 0.810108, 0.006221
3.876771,  0.854837, 0.000000, 0.028901, 0.817037, 0.005855
4.042921,  0.862094, 0.000000, 0.029172, 0.822928, 0.005743
3.752012,  0.863900, 0.000000, 0.029635, 0.808902, 0.006197
4.197127,  0.880663, 0.000000, 0.029173, 0.818101, 0.006466
3.912798,  0.859524, 0.000000, 0.028791, 0.813644, 0.005896
3.940735,  0.858153, 0.000000, 0.026054, 0.826797, 0.006468
3.968099,  0.874673, 0.000000, 0.028686, 0.842625, 0.005892
3.901800,  0.858828, 0.000000, 0.028781, 0.820282, 0.006924
3.965457,  0.871648, 0.000000, 0.025961, 0.834869, 0.006120
3.886125,  0.858188, 0.000000, 0.028951, 0.842754, 0.005897
3.970358,  0.859634, 0.000000, 0.028535, 0.835311, 0.005896
3.825685,  0.860735, 0.000000, 0.025570, 0.819526, 0.005844
3.873658,  0.866271, 0.000000, 0.026396, 0.817752, 0.005905
3.931018,  0.861648, 0.000000, 0.029020, 0.819563, 0.007032
3.841921,  0.859881, 0.000000, 0.029204, 0.829559, 0.005885
3.946259,  0.855698, 0.000000, 0.029335, 0.810005, 0.006913
4.189377,  0.860529, 0.000000, 0.024638, 0.823469, 0.006652
4.029843,  0.857116, 0.000000, 0.029578, 0.821041, 0.006954
3.821719,  0.859166, 0.000000, 0.029422, 0.797525, 0.007071
3.955032,  0.856559, 0.000000, 0.029466, 0.830365, 0.007974
3.846977,  0.860552, 0.000000, 0.029366, 0.843908, 0.007886
4.029803,  0.862350, 0.000000, 0.029208, 0.827664, 0.005965
3.905482,  0.855665, 0.000000, 0.029938, 0.842840, 0.006141
4.066405,  0.856445, 0.000000, 0.030714, 0.815757, 0.006022
3.017301,  0.647685, 0.000000, 0.018335, 1.322122, 0.007934
2.729949,  0.655773, 0.000000, 0.019587, 1.347386, 0.007583
3.097203,  0.650267, 0.000000, 0.018088, 1.353257, 0.008463
2.809999,  0.654797, 0.000000, 0.018927, 1.332225, 0.008393
2.632211,  0.670281, 0.000000, 0.019482, 1.361905, 0.009235
